Listing Number,Interior,Public Remarks,Sold Price,List Price,Cumulative DOM,Street Name,Street #,Listing_eval
FX-10200568,3,"*VACANT* PRICED UNDER APPRAISED VALUE! Motivated Seller says Bring offers! Spacious 2/2 home in the guard gated Deer Creek community of Villa D'Este. This single story home features: 2011 Roof, new hot water heater, new electrical box, 2 car garage with fenced courtyard, volume ceilings, recessed lighting, laminate floors in living/dining area & bedrooms, tile floors in family room & kitchen, eat-in kitchen w/granite counters, new microwave, master bath with His & Her sinks, walk in shower & Roman tub and screened-in/covered patio. Community pool and clubhouse. Maintenance includes: lawn for front only, pest control, painting and security. Close to shopping, dining and highway. Pet friendly! See attachments.",350000,374999,267,Via Napoli,2960,over
RX-10584376,3,"This property is located in a quiet gated community just minutes away from local restaurants, Shopping malls, and entertainment in the heart of Boynton Beach. This lovely 2 story single-family home is equipped with 4 bedrooms, 3 bathrooms and a 2 car garage. It also includes a covered patio with a spacious fenced in backyard with plenty of space to build a pool. With A newly renovated master bathroom and list of new upgrades ($15,000 solar water heating system, Nest thermostat, camera security system, Ring doorbell system, garage door opener, light fixtures, and a new stove) it makes this home an amazing purchase that won't be around for long.",350000,360000,267,Citrus Park,85,correct
FX-10215154,3,BEAUTIFULLY UPGRADED !! Start packing and ready to move in....Gated community,350000,359900,157,46,10808,correct
RX-10605851,4,"Don't miss this  incredible beautifully updated 3 bedroom 2 1/2 bath home backing up to private preserve for total privacy.  Gorgeous remodeled kitchen has stainless steel appliances,s granite counter tops, & opens to family room.This home boasts elegance with Plantation shutters throughout and  newer wood look floors in the entire home.Large master bedroom with amazing walk-in custom closets. Roman Tub w/ separate shower. Completely updated Jack & Jill bathroom for 2nd & 3rd bedrooms .  The view from the screened in patio overlooking preserve is so tranquil & peaceful.                                                                                       This is a dream home with very low HOA fees that include security gate, pool, clubhouse, exercise room, tennis basketball and playground",350000,350000,120,Bermuda Sound,8331,under
RX-10606551,3,"What a water view!  This freshly painted, 3 bedroom, 2 1/2 bath home is in the great community of Colors, one of the Rainbow Lakes subdivisions, with a highly desirable school zone.  The beautiful, Granite kitchen was completely remodeled about 2 years ago.  There are tile floors throughout, except you will find new carpet in the Master Bedroom & Bedroom #2.  All bathrooms have been remodeled.  The entire backside of this home has a screened-in patio with a breathtaking water view & hot tub. Community amenities include a large, resort-style pool, tennis courts, a large playground area, & basketball area.  Hurry!  This home is ready for a quick closing.  Cable is included in the low HOA fee.  This is a pet friendly neighborhood.  Garage is screened-in, too with easy access in & out.",350000,365000,25,Tourmaline,8627,correct
RX-10606254,3,"Beautiful, Spacious 3 Bedrooms/2 Bath Single Family Home in the all-age, pet-friendly, gated community of Bel Aire in Delray Beach. Located in Boca Raton's top-rated school district.  Open Layout offers Vaulted Ceilings and Split Floor Plan and Kitchen with both breakfast and dining areas.  Master Suite has two walk-in closets and large bathroom with duel sinks, separate shower and tub. Two other bedrooms are on opposite side of the home.  Features include tile on the diagonal, laminate flooring, NO popcorn ceiling, laundry room, and 2-car garage with brand new door. The screened patio overlooks an extremely private garden area and canal ? no rear neighbors. 2 pets are welcome. A/C 2019, Water Heater 2015. Residents enjoy a community pool, clubhouse, tennis, billiards and fitness center.",350000,350000,80,Del Palacio,16505,under
RX-10610237,2,"Great opportunity! Perfect for end user or investor. CBS house in a prime Boca location just minutes from the Beach and I95. Spacious rooms with lots of light, large private fenced lot with beautiful pool. Plenty of room to park boat/RV. New roof & A/C, water heater. This is truly a diamond in the rough!",350000,374000,52,2nd,4051,over
RX-10611338,3,"Totally updated 4 bedroom  2 bath home with a saltwater pool with an outdoor oven and built in grill with a great patio space. Kitchen and bathrooms have been updated with stainless appliances and granite tops.  No HOA, totally fenced yard and of course a two car garage. Priced to sell quickly.",350000,369000,59,10th,340,over
RX-10610746,4,"BACK ON MARKET DUE TO COVID & YOU HAVE THE CHANCE TO OWN THIS HOME in Harbors @ Riverglen! APPRAISED AT LIST PRICE! This spacious 3 bedroom 2 bath home is ready for your and your family. The split floor plan includes formal living & dining as well as an open concept kitchen and family room. Your kitchen comes fully equipped with updated appliances, granite countertops, custom cabinets & breakfast bar with plenty of seating. The covered screened in patio makes this home perfect for indoor and outdoor entertaining & leads to your beautiful, yet private, outdoor area.
Your new home is located directly across from the clubhouse & pool which is perfect for families with children.
Located in the heart of Deerfield, this home is close to tons of restaurants and shopping. Don't miss out again!, ",350000,350000,20,45th,539,under
RX-10611969,3,"Wow! Four Spacious bedrooms, 2 baths,  POOL Home in Sandalfoot Cove! Circular driveway with pavers. Newer windows! Crown molding! Tile flooring throughout living area and laminate flooring in the master bedroom! Both bathrooms are updated & the master En Suite bathroom as a Jacuzzi tub! Fenced in backyard has covered area Plus pavered patio with a huge pool!  Inside laundry/utility room. Sandalfoot Cove has NO HOA fee. The fee is ZERO! Pet friendly community/all ages ok/no clubs to join. Amazing schools!",350000,349900,26,64th,22667,under
